#timebase=4000000(ps)
,#voltbase=5000000(mv/100)
#size=4000
2.12E-05,9.800
2.12E-05,9.600
2.12E-05,10.000
2.13E-05,9.800
2.13E-05,10.000
2.13E-05,10.000
2.13E-05,9.800
2.13E-05,9.800
2.14E-05,9.600
2.14E-05,10.000
2.14E-05,9.800
2.14E-05,10.000
2.14E-05,10.000
2.15E-05,10.200
2.15E-05,9.600
2.15E-05,9.800
2.15E-05,10.000
2.15E-05,9.600
2.16E-05,9.800
2.16E-05,10.200
2.16E-05,9.800
2.16E-05,10.000
2.16E-05,10.000
2.17E-05,9.800
2.17E-05,10.000
2.17E-05,9.600
2.17E-05,9.800
2.17E-05,9.800
2.18E-05,9.800
2.18E-05,9.800
2.18E-05,10.000
2.18E-05,10.000
2.18E-05,10.000
2.19E-05,9.800
2.19E-05,9.800
2.19E-05,10.200
2.19E-05,9.800
2.19E-05,9.800
2.20E-05,9.800
2.20E-05,10.000
2.20E-05,10.000
2.20E-05,9.800
2.20E-05,10.000
2.21E-05,9.600
2.21E-05,9.800
2.21E-05,9.800
2.21E-05,9.600
2.21E-05,10.200
2.22E-05,10.000
2.22E-05,9.800
2.22E-05,9.800
2.22E-05,10.000
2.22E-05,9.600
2.23E-05,9.800
2.23E-05,10.000
2.23E-05,10.000
2.23E-05,10.000
2.23E-05,9.800
2.24E-05,9.800
2.24E-05,10.200
2.24E-05,10.000
2.24E-05,9.800
2.24E-05,9.800
2.25E-05,10.000
2.25E-05,9.800
2.25E-05,10.000
2.25E-05,10.000
2.25E-05,10.000
2.26E-05,9.800
2.26E-05,9.800
2.26E-05,10.000
2.26E-05,9.800
2.26E-05,10.000
2.27E-05,10.200
2.27E-05,10.000
2.27E-05,9.800
2.27E-05,10.000
2.27E-05,9.800
2.28E-05,9.800
2.28E-05,9.800
2.28E-05,10.000
2.28E-05,10.000
2.28E-05,9.800
2.29E-05,9.800
2.29E-05,9.800
2.29E-05,9.600
2.29E-05,10.000
2.29E-05,10.000
2.30E-05,9.800
2.30E-05,10.200
2.30E-05,9.800
2.30E-05,10.000
2.30E-05,9.800
2.31E-05,9.600
2.31E-05,10.000
2.31E-05,10.000
2.31E-05,9.800
2.31E-05,10.000
2.32E-05,9.800
2.32E-05,9.800
2.32E-05,10.000
2.32E-05,9.800
2.32E-05,9.600
2.33E-05,10.000
2.33E-05,10.000
2.33E-05,10.000
2.33E-05,10.000
2.33E-05,9.800
2.34E-05,9.800
2.34E-05,10.000
2.34E-05,9.600
2.34E-05,10.000
2.34E-05,9.800
2.35E-05,10.000
2.35E-05,9.800
2.35E-05,9.800
2.35E-05,9.800
2.35E-05,10.000
2.36E-05,9.800
2.36E-05,9.600
2.36E-05,10.000
2.36E-05,10.000
2.36E-05,9.800
2.37E-05,9.800
2.37E-05,10.000
2.37E-05,10.200
2.37E-05,9.800
2.37E-05,10.000
2.38E-05,10.000
2.38E-05,10.000
2.38E-05,9.800
2.38E-05,9.800
2.38E-05,10.200
2.39E-05,9.800
2.39E-05,9.800
2.39E-05,9.800
2.39E-05,10.000
2.39E-05,9.800
2.40E-05,9.800
2.40E-05,9.800
2.40E-05,10.000
2.40E-05,9.800
2.40E-05,9.400
2.41E-05,8.400
2.41E-05,7.600
2.41E-05,6.600
2.41E-05,5.800
2.41E-05,4.800
2.42E-05,3.800
2.42E-05,3.400
2.42E-05,2.800
2.42E-05,2.200
2.42E-05,1.800
2.43E-05,1.600
2.43E-05,1.200
2.43E-05,1.200
2.43E-05,1.200
2.43E-05,1.000
