#timebase=20000000000(ps)
,#voltbase=50000(mv/100)
#size=4000
9.40E-02,-0.030
9.41E-02,-0.036
9.42E-02,-0.038
9.43E-02,-0.024
9.44E-02,-0.034
9.45E-02,-0.032
9.46E-02,-0.026
9.47E-02,-0.040
9.48E-02,-0.024
9.49E-02,-0.022
9.50E-02,-0.026
9.51E-02,-0.018
9.52E-02,-0.020
9.53E-02,-0.034
9.54E-02,-0.040
9.55E-02,-0.032
9.56E-02,-0.018
9.57E-02,-0.046
9.58E-02,-0.030
9.59E-02,-0.026
9.60E-02,-0.036
9.61E-02,-0.028
9.62E-02,-0.024
9.63E-02,-0.014
9.64E-02,-0.030
9.65E-02,-0.030
9.66E-02,-0.032
9.67E-02,-0.020
9.68E-02,-0.028
9.69E-02,-0.018
9.70E-02,-0.020
9.71E-02,-0.016
9.72E-02,-0.020
9.73E-02,-0.014
9.74E-02,-0.016
9.75E-02,-0.016
9.76E-02,-0.014
9.77E-02,-0.014
9.78E-02,-0.010
9.79E-02,-0.012
9.80E-02,-0.012
9.81E-02,-0.012
9.82E-02,-0.006
9.83E-02,-0.008
9.84E-02,-0.010
9.85E-02,-0.008
9.86E-02,-0.008
9.87E-02,-0.006
9.88E-02,-0.008
9.89E-02,-0.002
9.90E-02,-0.004
9.91E-02,0.000
9.92E-02,0.000
9.93E-02,-0.002
9.94E-02,0.000
9.95E-02,0.008
9.96E-02,0.004
9.97E-02,0.004
9.98E-02,0.004
9.99E-02,0.006
1.00E-01,0.010
1.00E-01,0.010
1.00E-01,0.006
1.00E-01,0.008
1.00E-01,0.010
1.01E-01,0.012
1.01E-01,0.010
1.01E-01,0.012
1.01E-01,0.014
1.01E-01,0.008
1.01E-01,0.018
1.01E-01,0.010
1.01E-01,0.012
1.01E-01,0.014
1.01E-01,0.008
1.02E-01,0.022
1.02E-01,0.014
1.02E-01,0.018
1.02E-01,0.014
1.02E-01,0.016
1.02E-01,0.020
1.02E-01,0.016
1.02E-01,0.018
1.02E-01,0.020
1.02E-01,0.022
1.02E-01,0.026
1.03E-01,0.020
1.03E-01,0.020
1.03E-01,0.024
1.03E-01,0.028
1.03E-01,0.026
1.03E-01,0.030
1.03E-01,0.020
1.03E-01,0.018
1.03E-01,0.026
1.03E-01,0.020
1.04E-01,0.024
1.04E-01,0.024
1.04E-01,0.028
1.04E-01,0.024
1.04E-01,0.020
1.04E-01,0.028
1.04E-01,0.028
1.04E-01,0.028
1.04E-01,0.032
1.04E-01,0.026
1.05E-01,0.030
1.05E-01,0.028
1.05E-01,0.022
1.05E-01,0.022
1.05E-01,0.024
1.05E-01,0.026
1.05E-01,0.024
1.05E-01,0.030
1.05E-01,0.036
1.05E-01,0.020
1.06E-01,0.020
1.06E-01,0.024
1.06E-01,0.036
1.06E-01,0.008
1.06E-01,0.028
1.06E-01,0.018
1.06E-01,0.036
1.06E-01,0.020
1.06E-01,0.020
1.06E-01,0.012
1.07E-01,0.020
1.07E-01,0.020
1.07E-01,0.016
1.07E-01,0.016
1.07E-01,0.024
1.07E-01,0.018
1.07E-01,0.020
1.07E-01,0.016
1.07E-01,0.014
1.07E-01,0.012
1.08E-01,0.014
1.08E-01,0.010
1.08E-01,0.012
1.08E-01,0.008
1.08E-01,0.006
1.08E-01,0.010
1.08E-01,0.010
1.08E-01,0.010
1.08E-01,0.008
1.08E-01,0.004
1.09E-01,0.008
1.09E-01,0.008
1.09E-01,0.004
1.09E-01,0.000
1.09E-01,0.000
1.09E-01,0.002
1.09E-01,0.004
1.09E-01,0.002
1.09E-01,-0.006
1.10E-01,0.000
1.10E-01,-0.006
1.10E-01,-0.004
1.10E-01,-0.006
1.10E-01,-0.004
1.10E-01,-0.006
1.10E-01,-0.006
1.10E-01,-0.006
1.10E-01,-0.004
1.10E-01,-0.010
1.11E-01,-0.014
1.11E-01,-0.012
1.11E-01,-0.014
1.11E-01,-0.008
